2026-04-01 20:15:23 | INFO     | PID:37184 | agentkernel_distributed.toolkit.models.router:close:109 - Closing ModelRouter (backend: Local)...
2026-04-01 20:15:23 | INFO     | PID:37184 | agentkernel_distributed.toolkit.models.router:close:112 - ModelRouter closed.
2026-04-01 20:15:23 | INFO     | PID:27328 | agentkernel_distributed.toolkit.models.router:close:109 - Closing ModelRouter (backend: Local)...
2026-04-01 20:15:23 | INFO     | PID:3368 | agentkernel_distributed.toolkit.models.router:close:109 - Closing ModelRouter (backend: Local)...
2026-04-01 20:15:23 | INFO     | PID:40084 | agentkernel_distributed.toolkit.models.router:close:109 - Closing ModelRouter (backend: Local)...
2026-04-01 20:15:23 | INFO     | PID:40084 | agentkernel_distributed.toolkit.models.router:close:112 - ModelRouter closed.
2026-04-01 20:15:23 | INFO     | PID:5828 | agentkernel_distributed.toolkit.models.router:close:112 - ModelRouter closed.
2026-04-01 20:15:23 | INFO     | PID:39268 | agentkernel_distributed.toolkit.models.router:close:109 - Closing ModelRouter (backend: Local)...
2026-04-01 20:15:23 | INFO     | PID:39268 | agentkernel_distributed.toolkit.models.router:close:112 - ModelRouter closed.
2026-04-01 20:15:23 | INFO     | PID:28752 | agentkernel_distributed.toolkit.models.router:close:109 - Closing ModelRouter (backend: Local)...
2026-04-01 20:15:23 | INFO     | PID:28752 | agentkernel_distributed.toolkit.models.router:close:112 - ModelRouter closed.
2026-04-01 22:26:32 | DEBUG    | PID:44484 | agentkernel_distributed.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-04-01 22:26:32 | DEBUG    | PID:44484 | agentkernel_distributed.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen3.5-flash
2026-04-01 22:26:32 | DEBUG    | PID:44484 | agentkernel_distributed.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
2026-04-01 22:26:32 | DEBUG    | PID:44484 | agentkernel_distributed.toolkit.models.async_router:chat:140 - Attempting chat request with provider: qwen3.5-flash
2026-04-01 22:26:32 | DEBUG    | PID:44492 | agentkernel_distributed.toolkit.models.async_router:_get_target_providers:87 - Filtering for capability 'chat': 1 total -> 1 capable.
